"customer_key","customer_number","customer_name","age","age_group","customer_segment","last_order","recency","total_orders","total_sales","avg_order_value","total_quantity","total_products","lifespan","monthly_spend"
580,AW00011579,Clayton Beck,45,"40 - 49",new,2013-07-31,158,2,44,22,2,2,0,0
581,AW00011580,Melvin Raje,87,"50 and above",new,2013-04-16,161,1,35,35,1,1,0,0
582,AW00011581,Cindy Jordan,,"50 and above",new,2013-11-22,154,11,237,21,11,11,9,26.3333333333333333
583,AW00011582,Claudia Ma,52,"50 and above",new,2013-03-23,162,3,4379,1459,3,3,3,1459.6666666666666667
584,AW00011583,Karla Xu,55,"50 and above",new,2013-04-08,161,4,4381,1095,4,4,4,1095.2500000000000000
585,AW00011584,Devin Carter,55,"50 and above",new,2013-09-16,156,1,9,9,1,1,0,0
586,AW00011585,Kari Perez,50,"50 and above",new,2014-01-10,152,1,50,50,1,1,0,0
587,AW00011586,Alberto Romero,55,"50 and above",new,2013-10-28,155,1,9,9,1,1,0,0
588,AW00011587,Kevin Bryant,50,"50 and above",new,2013-04-09,161,5,4540,908,5,5,5,908.0000000000000000
589,AW00011588,Candace Mehta,56,"50 and above",new,2013-05-12,160,2,4369,2184,2,2,6,728.1666666666666667
590,AW00011589,Ebony Malhotra,51,"50 and above",new,2013-06-04,159,2,15,7,2,2,0,0
591,AW00011590,Erika Diaz,46,"40 - 49",new,2013-05-23,160,4,4384,1096,4,4,5,876.8000000000000000
592,AW00011591,Stacey Lu,57,"50 and above",VIP,2013-05-23,160,3,5895,1965,3,3,28,210.5357142857142857
593,AW00011592,Darrell Raji,42,"40 - 49",VIP,2013-05-12,160,3,5875,1958,3,3,28,209.8214285714285714
594,AW00011593,Armando Moreno,44,"40 - 49",VIP,2013-06-19,159,3,5908,1969,3,3,29,203.7241379310344828
595,AW00011594,Corey Goel,41,"40 - 49",new,2013-08-17,157,2,89,44,2,2,0,0
596,AW00011595,Sebastian Howard,41,"40 - 49",new,2013-12-30,153,1,35,35,1,1,0,0
597,AW00011596,Roger Raje,57,"50 and above",new,2013-10-01,155,3,50,16,3,3,0,0
598,AW00011597,Janelle Chandra,43,"40 - 49",new,2014-01-05,152,1,35,35,1,1,0,0
599,AW00011598,Meredith Ruiz,42,"40 - 49",regular,2013-03-24,162,5,4548,909,5,5,12,379.0000000000000000
600,AW00011599,Melody Diaz,43,"40 - 49",VIP,2013-06-12,159,6,5957,992,6,6,29,205.4137931034482759
601,AW00011600,Linda Rubio,43,"40 - 49",new,2013-05-06,160,1,35,35,1,1,0,0
602,AW00011601,Ivan Raman,43,"40 - 49",VIP,2013-06-07,159,6,5932,988,6,6,29,204.5517241379310345
603,AW00011602,Larry Gill,43,"40 - 49",new,2013-07-10,158,1,35,35,1,1,0,0
604,AW00011603,Geoffrey Gonzalez,44,"40 - 49",VIP,2013-10-08,155,5,6767,1353,5,5,21,322.2380952380952381
605,AW00011604,Edgar Sanchez,43,"40 - 49",VIP,2013-10-16,155,7,6786,969,7,7,21,323.1428571428571429
606,AW00011605,Heidi Subram,44,"40 - 49",new,2013-02-28,163,2,4344,2172,2,2,11,394.9090909090909091
607,AW00011606,Melody Ramos,40,"40 - 49",VIP,2013-06-28,159,5,5922,1184,5,5,29,204.2068965517241379
608,AW00011607,Clinton Moreno,40,"40 - 49",VIP,2013-06-10,159,4,5913,1478,4,4,29,203.8965517241379310
609,AW00011608,Cesar Madan,45,"40 - 49",new,2013-12-13,153,1,35,35,1,1,0,0
610,AW00011609,Eugene Ye,44,"40 - 49",VIP,2013-11-23,154,9,6872,763,9,9,22,312.3636363636363636
611,AW00011610,Blake Collins,45,"40 - 49",VIP,2013-11-01,154,6,6786,1131,6,6,22,308.4545454545454545
612,AW00011611,Ernest Lin,41,"40 - 49",VIP,2013-06-29,159,2,5873,2936,2,2,29,202.5172413793103448
613,AW00011612,Keith Andersen,40,"40 - 49",VIP,2013-11-18,154,6,6795,1132,6,6,21,323.5714285714285714
614,AW00011613,Meredith Prasad,45,"40 - 49",new,2013-04-24,161,4,4381,1095,4,4,11,398.2727272727272727
615,AW00011614,Katrina Sharma,45,"40 - 49",new,2013-04-05,161,5,4438,887,5,5,11,403.4545454545454545
616,AW00011615,Dwayne Navarro,45,"40 - 49",VIP,2013-04-13,161,7,5205,743,7,7,14,371.7857142857142857
617,AW00011616,Casey Nath,46,"40 - 49",VIP,2013-04-15,161,10,5253,525,10,10,14,375.2142857142857143
618,AW00011617,Sean Brooks,61,"50 and above",VIP,2013-04-07,161,4,5935,1483,4,4,19,312.3684210526315789
619,AW00011618,Brian Ramirez,61,"50 and above",new,2013-02-09,163,4,2370,592,4,4,0,0
620,AW00011619,Sierra Young,47,"40 - 49",new,2013-12-02,153,29,633,21,29,29,10,63.3000000000000000
621,AW00011620,Megan Rodriguez,47,"40 - 49",new,2013-07-27,158,4,44,11,4,4,5,8.8000000000000000
622,AW00011621,Leah She,48,"40 - 49",new,2013-10-30,155,6,123,20,6,6,2,61.5000000000000000
623,AW00011622,Gabriel Allen,47,"40 - 49",new,2013-06-15,159,5,133,26,5,5,2,66.5000000000000000
624,AW00011623,Angela Perry,47,"40 - 49",VIP,2013-04-26,161,5,5948,1189,5,5,19,313.0526315789473684
625,AW00011624,Ryan Smith,42,"40 - 49",VIP,2013-04-24,161,2,5898,2949,2,2,19,310.4210526315789474
626,AW00011625,Zachary Moore,48,"40 - 49",VIP,2013-04-23,161,4,5913,1478,4,4,19,311.2105263157894737
627,AW00011626,Destiny Rogers,47,"40 - 49",VIP,2013-04-07,161,4,5959,1489,4,4,19,313.6315789473684211
628,AW00011627,Dalton Gray,48,"40 - 49",new,2013-11-09,154,4,50,12,4,4,3,16.6666666666666667
629,AW00011628,Mariah Wood,48,"40 - 49",VIP,2013-03-31,162,3,5875,1958,3,3,18,326.3888888888888889
630,AW00011629,Isaiah Wright,50,"50 and above",VIP,2013-04-18,161,4,5930,1482,4,4,19,312.1052631578947368
631,AW00011630,Haley Powell,49,"40 - 49",VIP,2013-04-27,161,3,5933,1977,3,3,19,312.2631578947368421
632,AW00011631,Antonio Bennett,50,"50 and above",new,2013-12-25,153,33,706,21,33,33,10,70.6000000000000000
633,AW00011632,Alexandra Jenkins,44,"40 - 49",regular,2014-01-03,152,34,1001,29,34,34,12,83.4166666666666667
634,AW00011633,Thomas Anderson,48,"40 - 49",new,2014-01-14,152,4,77,19,4,4,2,38.5000000000000000
635,AW00011634,Samuel Collins,48,"40 - 49",new,2013-04-26,161,3,39,13,3,3,1,39.0000000000000000
636,AW00011635,Darrell Chande,43,"40 - 49",new,2013-09-21,156,3,42,14,3,3,7,6.0000000000000000
637,AW00011636,Kimberly Cox,48,"40 - 49",new,2014-01-18,152,4,77,19,4,4,4,19.2500000000000000
638,AW00011637,Morgan Hernandez,43,"40 - 49",new,2013-02-15,163,3,39,13,3,3,0,0
639,AW00011638,Antonio Powell,49,"40 - 49",new,2013-10-19,155,4,77,19,4,4,0,0
640,AW00011639,Angelica Perry,48,"40 - 49",new,2014-01-08,152,5,127,25,5,5,2,63.5000000000000000
641,AW00011640,Chloe Wilson,50,"50 and above",new,2013-12-29,153,15,408,27,15,15,9,45.3333333333333333
642,AW00011641,James Chen,50,"50 and above",new,2013-08-18,157,11,302,27,11,11,7,43.1428571428571429
643,AW00011642,Morgan Hughes,50,"50 and above",new,2014-01-24,152,15,481,32,15,15,11,43.7272727272727273
644,AW00011643,Naomi Munoz,50,"50 and above",new,2013-07-04,158,5,100,20,5,5,3,33.3333333333333333
645,AW00011644,Charles Torres,51,"50 and above",new,2014-01-05,152,3,42,14,3,3,8,5.2500000000000000
646,AW00011645,Gabriella Turner,51,"50 and above",new,2014-01-03,152,5,153,30,5,5,2,76.5000000000000000
647,AW00011646,Anna Foster,46,"40 - 49",new,2013-07-25,158,3,113,37,3,3,0,0
648,AW00011647,Randy Wu,51,"50 and above",new,2013-02-15,163,5,2366,473,5,5,0,0
649,AW00011648,Kevin Scott,46,"40 - 49",new,2013-09-02,156,2,89,44,2,2,1,89.0000000000000000
650,AW00011649,Ian White,46,"40 - 49",new,2013-04-23,161,3,91,30,3,3,0,0
651,AW00011650,Caleb Hayes,51,"50 and above",new,2013-12-17,153,4,129,32,4,4,10,12.9000000000000000
652,AW00011651,Patricia Garcia,43,"40 - 49",new,2013-10-18,155,8,226,28,8,8,7,32.2857142857142857
653,AW00011652,Samuel Russell,44,"40 - 49",new,2013-12-18,153,14,310,22,14,14,6,51.6666666666666667
654,AW00011653,Sydney Peterson,44,"40 - 49",new,2013-10-12,155,5,179,35,5,5,6,29.8333333333333333
655,AW00011654,Ariana Sanchez,49,"40 - 49",VIP,2013-04-24,161,4,5955,1488,4,4,18,330.8333333333333333
656,AW00011655,Tamara Sharma,44,"40 - 49",new,2013-12-02,153,4,50,12,4,4,3,16.6666666666666667
657,AW00011656,Katelyn Perez,49,"40 - 49",new,2014-01-12,152,4,77,19,4,4,4,19.2500000000000000
658,AW00011657,Megan Cox,49,"40 - 49",new,2014-01-28,152,5,179,35,5,5,8,22.3750000000000000
659,AW00011658,Robert Mitchell,41,"40 - 49",new,2013-07-24,158,5,112,22,5,5,3,37.3333333333333333
660,AW00011659,Miguel Adams,51,"50 and above",new,2014-01-06,152,10,234,23,10,10,8,29.2500000000000000
661,AW00011660,Miranda Gonzales,46,"40 - 49",new,2013-08-16,157,15,323,21,15,15,3,107.6666666666666667
662,AW00011661,Jeremiah James,45,"40 - 49",new,2013-12-14,153,11,287,26,11,11,8,35.8750000000000000
663,AW00011662,Ethan Kumar,50,"50 and above",new,2013-07-06,158,4,100,25,4,4,2,50.0000000000000000
664,AW00011663,Seth Williams,51,"50 and above",VIP,2013-02-15,163,5,5948,1189,5,5,16,371.7500000000000000
665,AW00011664,Alyssa Morgan,51,"50 and above",VIP,2013-02-21,163,5,5948,1189,5,5,16,371.7500000000000000
666,AW00011665,Janet Dominguez,50,"50 and above",VIP,2013-02-14,163,4,5930,1482,4,4,16,370.6250000000000000
667,AW00011666,Angel Baker,44,"40 - 49",VIP,2013-02-07,163,5,5948,1189,5,5,16,371.7500000000000000
668,AW00011667,Blake Moore,53,"50 and above",new,2013-12-19,153,3,91,30,3,3,5,18.2000000000000000
669,AW00011668,Jada Collins,42,"40 - 49",new,2014-01-04,152,4,129,32,4,4,1,129.0000000000000000
670,AW00011669,Isabella Simmons,47,"40 - 49",new,2013-08-19,157,6,113,18,6,6,0,0
671,AW00011670,Jacqueline Perry,53,"50 and above",new,2013-09-18,156,4,100,25,4,4,5,20.0000000000000000
672,AW00011671,Jessica Brown,54,"50 and above",VIP,2013-04-08,161,4,5970,1492,4,4,18,331.6666666666666667
673,AW00011672,Chad Jai,54,"50 and above",new,2013-09-18,156,3,113,37,3,3,2,56.5000000000000000
674,AW00011673,Susan Ye,49,"40 - 49",new,2013-03-03,162,6,192,32,6,6,2,96.0000000000000000
675,AW00011674,Morgan Rogers,54,"50 and above",new,2013-08-18,157,4,96,24,4,4,3,32.0000000000000000
676,AW00011675,Devin Martinez,49,"40 - 49",VIP,2013-02-09,163,2,5898,2949,2,2,16,368.6250000000000000
677,AW00011676,Alan Hu,55,"50 and above",new,2013-12-09,153,3,91,30,3,3,4,22.7500000000000000
678,AW00011677,Charles Walker,45,"40 - 49",new,2013-11-30,154,10,297,29,10,10,7,42.4285714285714286
679,AW00011678,Johnny Chavez,52,"50 and above",VIP,2013-02-05,163,3,5900,1966,3,3,16,368.7500000000000000
680,AW00011679,Dalton Richardson,51,"50 and above",new,2013-11-29,154,4,146,36,4,4,1,146.0000000000000000
681,AW00011680,Kaylee Nelson,51,"50 and above",new,2014-01-19,152,3,94,31,3,3,4,23.5000000000000000
682,AW00011681,Abigail Jones,51,"50 and above",new,2013-11-25,154,5,138,27,5,5,8,17.2500000000000000
683,AW00011682,Kaitlyn Hall,46,"40 - 49",new,2013-12-09,153,4,253,63,4,4,3,84.3333333333333333
684,AW00011683,Greg Taylor,52,"50 and above",VIP,2013-02-07,163,5,5897,1179,5,5,16,368.5625000000000000
685,AW00011684,Devin Parker,55,"50 and above",new,2013-12-12,153,3,94,31,3,3,5,18.8000000000000000
686,AW00011685,Jose Griffin,56,"50 and above",new,2013-12-13,153,5,111,22,5,5,9,12.3333333333333333
687,AW00011686,Luke Edwards,50,"50 and above",new,2013-04-24,161,4,129,32,4,4,1,129.0000000000000000
688,AW00011687,Cody Torres,50,"50 and above",new,2013-06-21,159,3,98,32,3,3,2,49.0000000000000000
689,AW00011688,Victoria Morris,49,"40 - 49",VIP,2013-02-14,163,5,5967,1193,5,5,16,372.9375000000000000
690,AW00011689,Ian Diaz,55,"50 and above",new,2013-09-02,156,2,89,44,2,2,1,89.0000000000000000
691,AW00011690,Caroline Butler,50,"50 and above",VIP,2013-04-26,161,4,5904,1476,4,4,18,328.0000000000000000
692,AW00011691,Kaitlyn Wilson,51,"50 and above",new,2013-05-19,160,4,120,30,4,4,3,40.0000000000000000
693,AW00011692,Caleb Gonzales,56,"50 and above",new,2014-01-18,152,3,94,31,3,3,6,15.6666666666666667
694,AW00011693,Hailey Diaz,51,"50 and above",new,2013-01-28,164,1,2295,2295,1,1,0,0
695,AW00011694,Jonathon Ortega,57,"50 and above",new,2013-09-28,156,4,129,32,4,4,5,25.8000000000000000
696,AW00011695,Logan Campbell,57,"50 and above",new,2013-08-19,157,4,129,32,4,4,4,32.2500000000000000
697,AW00011696,Mackenzie Campbell,51,"50 and above",VIP,2013-04-29,161,2,5873,2936,2,2,18,326.2777777777777778
698,AW00011697,Eduardo Lee,51,"50 and above",new,2013-10-04,155,5,153,30,5,5,2,76.5000000000000000
699,AW00011698,Jackson Wright,50,"50 and above",new,2014-01-14,152,7,255,36,7,7,10,25.5000000000000000
700,AW00011699,Chase Peterson,58,"50 and above",new,2013-08-09,157,5,122,24,5,5,3,40.6666666666666667
701,AW00011700,Xavier Richardson,57,"50 and above",new,2013-06-09,159,5,138,27,5,5,4,34.5000000000000000
702,AW00011701,David Hayes,41,"40 - 49",new,2013-05-04,160,4,129,32,4,4,1,129.0000000000000000
703,AW00011702,Jenny Zhou,51,"50 and above",new,2013-11-14,154,4,96,24,4,4,6,16.0000000000000000
704,AW00011703,Kaylee Baker,52,"50 and above",new,2013-11-16,154,4,100,25,4,4,9,11.1111111111111111
705,AW00011704,Evan Hernandez,52,"50 and above",new,2013-07-17,158,3,94,31,3,3,0,0
706,AW00011705,Brooke Richardson,47,"40 - 49",VIP,2013-05-27,160,5,5940,1188,5,5,19,312.6315789473684211
707,AW00011706,Blake Perez,58,"50 and above",new,2013-10-04,155,2,89,44,2,2,7,12.7142857142857143
708,AW00011707,Natalie Cook,57,"50 and above",VIP,2013-05-24,160,5,6025,1205,5,5,19,317.1052631578947368
709,AW00011708,Elizabeth Weisman,52,"50 and above",VIP,2013-05-28,160,4,5908,1477,4,4,19,310.9473684210526316
710,AW00011709,Hailey Collins,58,"50 and above",new,2013-10-14,155,12,325,27,12,12,7,46.4285714285714286
711,AW00011710,Zoe Ramirez,59,"50 and above",new,2013-12-12,153,3,98,32,3,3,1,98.0000000000000000
712,AW00011711,Daniel Davis,52,"50 and above",new,2014-01-26,152,55,1104,20,55,55,11,100.3636363636363636
713,AW00011712,Shelby Rogers,58,"50 and above",new,2013-10-29,155,8,128,16,8,8,8,16.0000000000000000
714,AW00011713,Kyle Zhang,59,"50 and above",new,2013-11-21,154,6,192,32,6,6,4,48.0000000000000000
715,AW00011714,Alexandria Long,58,"50 and above",new,2013-05-14,160,3,94,31,3,3,3,31.3333333333333333
716,AW00011715,Chloe Robinson,58,"50 and above",new,2013-12-30,153,4,144,36,4,4,0,0
717,AW00011716,Evan Kelly,59,"50 and above",new,2014-01-13,152,4,96,24,4,4,8,12.0000000000000000
718,AW00011717,Marcus Jones,54,"50 and above",new,2013-12-28,153,5,193,38,5,5,7,27.5714285714285714
719,AW00011718,Sarah Jones,53,"50 and above",new,2013-03-21,162,4,100,25,4,4,0,0
720,AW00011719,Blake Green,55,"50 and above",new,2013-09-20,156,11,286,26,11,11,5,57.2000000000000000
721,AW00011720,Morgan Morris,61,"50 and above",new,2013-07-24,158,6,118,19,6,6,2,59.0000000000000000
722,AW00011721,Jennifer Alexander,55,"50 and above",new,2013-10-17,155,5,105,21,5,5,4,26.2500000000000000
723,AW00011722,Julian Hughes,60,"50 and above",new,2013-11-09,154,5,153,30,5,5,4,38.2500000000000000
724,AW00011723,Luke Coleman,53,"50 and above",regular,2014-01-03,152,9,193,21,9,9,12,16.0833333333333333
725,AW00011724,Jason Carter,53,"50 and above",new,2013-12-14,153,13,210,16,13,13,10,21.0000000000000000
726,AW00011725,Jose Li,53,"50 and above",new,2013-05-02,160,5,124,24,5,5,1,124.0000000000000000
727,AW00011726,Micah Liang,53,"50 and above",new,2013-12-07,153,7,224,32,7,7,2,112.0000000000000000
728,AW00011727,Benjamin Taylor,53,"50 and above",VIP,2013-05-04,160,4,5962,1490,4,4,19,313.7894736842105263
729,AW00011728,Logan White,61,"50 and above",new,2013-11-06,154,4,110,27,4,4,5,22.0000000000000000
730,AW00011729,Caleb Campbell,55,"50 and above",new,2014-01-11,152,5,160,32,5,5,6,26.6666666666666667
731,AW00011730,Emma Torres,60,"50 and above",new,2014-01-08,152,5,134,26,5,5,8,16.7500000000000000
732,AW00011731,Tanya Gill,60,"50 and above",new,2013-08-04,157,5,121,24,5,5,5,24.2000000000000000
733,AW00011732,Erick Sanchez,56,"50 and above",new,2013-08-15,157,5,174,34,5,5,2,87.0000000000000000
734,AW00011733,Kristi Schmidt,56,"50 and above",new,2014-01-07,152,4,195,48,4,4,0,0
735,AW00011734,Omar Chen,56,"50 and above",new,2013-07-07,158,4,136,34,4,4,1,136.0000000000000000
736,AW00011735,Sydney Gray,62,"50 and above",new,2013-12-22,153,4,110,27,4,4,10,11.0000000000000000
737,AW00011736,Sebastian Sanchez,56,"50 and above",new,2013-12-04,153,5,166,33,5,5,2,83.0000000000000000
738,AW00011737,Megan Martin,56,"50 and above",new,2013-07-17,158,4,77,19,4,4,5,15.4000000000000000
739,AW00011738,Elijah Alexander,55,"50 and above",new,2013-12-27,153,13,330,25,13,13,10,33.0000000000000000
740,AW00011739,Aaron King,61,"50 and above",new,2013-04-16,161,6,4758,793,6,6,3,1586.0000000000000000
741,AW00011740,Jan Hall,61,"50 and above",new,2014-01-18,152,14,384,27,14,14,10,38.4000000000000000
742,AW00011741,Tamara Chander,61,"50 and above",VIP,2013-02-20,163,4,6079,1519,4,4,16,379.9375000000000000
743,AW00011742,Edward Lewis,62,"50 and above",VIP,2013-05-22,160,5,5915,1183,5,5,19,311.3157894736842105
744,AW00011743,Chase Kelly,52,"50 and above",VIP,2013-05-16,160,2,5898,2949,2,2,19,310.4210526315789474
745,AW00011744,Stephanie Campbell,62,"50 and above",new,2013-08-27,157,3,72,24,3,3,4,18.0000000000000000
746,AW00011745,Allison Gonzalez,62,"50 and above",VIP,2013-05-04,160,5,5948,1189,5,5,19,313.0526315789473684
747,AW00011746,Seth Brooks,62,"50 and above",new,2013-11-09,154,4,77,19,4,4,10,7.7000000000000000
748,AW00011747,Destiny Davis,63,"50 and above",new,2013-10-13,155,4,116,29,4,4,2,58.0000000000000000
749,AW00011748,Blake Hill,62,"50 and above",new,2013-11-01,154,8,132,16,8,8,5,26.4000000000000000
750,AW00011749,Eduardo Jackson,46,"40 - 49",new,2013-12-31,153,4,48,12,4,4,8,6.0000000000000000
751,AW00011750,Latoya She,42,"40 - 49",VIP,2013-10-01,155,6,8148,1358,6,6,27,301.7777777777777778
752,AW00011751,Victoria Gonzales,50,"50 and above",VIP,2013-07-17,158,6,8215,1369,6,6,24,342.2916666666666667
753,AW00011752,Lauren Bryant,45,"40 - 49",new,2013-12-06,153,8,138,17,8,8,10,13.8000000000000000
754,AW00011753,Felicia Ortega,51,"50 and above",new,2013-10-15,155,4,48,12,4,4,6,8.0000000000000000
755,AW00011754,Janet Ortega,50,"50 and above",VIP,2013-07-30,158,5,8163,1632,5,5,24,340.1250000000000000
756,AW00011755,Willie Pal,52,"50 and above",new,2013-08-17,157,5,46,9,5,5,3,15.3333333333333333
757,AW00011756,Linda Ortega,52,"50 and above",VIP,2013-10-25,155,6,8078,1346,6,6,27,299.1851851851851852
758,AW00011757,Vincent Cai,47,"40 - 49",new,2013-11-27,154,5,57,11,5,5,9,6.3333333333333333
759,AW00011758,Colin Yuan,46,"40 - 49",new,2013-11-24,154,5,57,11,5,5,8,7.1250000000000000
760,AW00011759,Dawn Nath,45,"40 - 49",VIP,2013-07-09,158,3,8054,2684,3,3,24,335.5833333333333333
761,AW00011760,Melody Moreno,53,"50 and above",new,2013-11-19,154,9,275,30,9,9,8,34.3750000000000000
762,AW00011761,Edgar Mehta,53,"50 and above",VIP,2013-07-29,158,8,8149,1018,8,8,23,354.3043478260869565
763,AW00011762,Randall Gomez,42,"40 - 49",VIP,2013-07-06,158,7,8228,1175,7,7,23,357.7391304347826087
764,AW00011763,Ross Fernandez,54,"50 and above",new,2013-11-12,154,7,76,10,7,7,10,7.6000000000000000
765,AW00011764,Jessie Ramos,53,"50 and above",VIP,2013-07-07,158,6,8129,1354,6,6,22,369.5000000000000000
766,AW00011765,Marc Torres,43,"40 - 49",VIP,2013-07-26,158,5,8143,1628,5,5,22,370.1363636363636364
767,AW00011766,Candace Raman,54,"50 and above",VIP,2013-07-10,158,11,8280,752,11,11,22,376.3636363636363636
768,AW00011767,Meagan Madan,49,"40 - 49",VIP,2013-07-12,158,7,8319,1188,7,7,22,378.1363636363636364
769,AW00011768,Clayton Nara,43,"40 - 49",VIP,2013-07-14,158,4,8139,2034,4,4,22,369.9545454545454545
770,AW00011769,Haley Hernandez,47,"40 - 49",new,2013-09-18,156,17,478,28,17,17,5,95.6000000000000000
771,AW00011770,Peter Nara,47,"40 - 49",new,2013-10-21,155,4,77,19,4,4,2,38.5000000000000000
772,AW00011771,Isaac Rivera,47,"40 - 49",new,2013-07-24,158,3,94,31,3,3,4,23.5000000000000000
773,AW00011772,Cameron Moore,42,"40 - 49",VIP,2013-05-15,160,4,5913,1478,4,4,19,311.2105263157894737
774,AW00011773,Gavin Diaz,47,"40 - 49",VIP,2013-04-30,161,4,5984,1496,4,4,18,332.4444444444444444
775,AW00011774,Emma Sanchez,47,"40 - 49",VIP,2013-06-13,159,3,5900,1966,3,3,20,295.0000000000000000
776,AW00011775,Sierra Roberts,,"50 and above",VIP,2013-06-03,159,4,5913,1478,4,4,20,295.6500000000000000
777,AW00011776,Seth Mitchell,47,"40 - 49",VIP,2013-06-03,159,4,6079,1519,4,4,20,303.9500000000000000
778,AW00011777,Miranda Long,48,"40 - 49",VIP,2013-06-22,159,5,5915,1183,5,5,20,295.7500000000000000
779,AW00011778,Haley Henderson,50,"50 and above",VIP,2013-06-29,159,2,5873,2936,2,2,20,293.6500000000000000
780,AW00011779,Sarah Jackson,49,"40 - 49",VIP,2013-06-23,159,2,5873,2936,2,2,20,293.6500000000000000
781,AW00011780,Jessica Alexander,49,"40 - 49",VIP,2013-06-18,159,5,5973,1194,5,5,20,298.6500000000000000
782,AW00011781,Carlos Gray,50,"50 and above",new,2013-12-09,153,5,134,26,5,5,9,14.8888888888888889
783,AW00011782,Barbara Jai,44,"40 - 49",new,2013-09-16,156,6,151,25,6,6,1,151.0000000000000000
784,AW00011783,Sara Mitchell,43,"40 - 49",new,2013-05-11,160,4,110,27,4,4,2,55.0000000000000000
785,AW00011784,Jose Turner,48,"40 - 49",new,2013-12-17,153,12,272,22,12,12,8,34.0000000000000000
786,AW00011785,Theodore Diaz,43,"40 - 49",new,2013-08-31,157,3,75,25,3,3,4,18.7500000000000000
787,AW00011786,Ian Murphy,48,"40 - 49",new,2014-01-23,152,4,127,31,4,4,1,127.0000000000000000
788,AW00011787,Jerry Nath,48,"40 - 49",new,2013-11-05,154,4,110,27,4,4,1,110.0000000000000000
789,AW00011788,Destiny James,49,"40 - 49",new,2013-08-20,157,5,255,51,5,5,3,85.0000000000000000
790,AW00011789,Bailey Phillips,45,"40 - 49",new,2013-04-28,161,3,72,24,3,3,1,72.0000000000000000
791,AW00011790,Timothy Gonzalez,45,"40 - 49",new,2013-05-22,160,5,147,29,5,5,2,73.5000000000000000
792,AW00011791,Chase Morgan,50,"50 and above",new,2013-12-01,153,3,120,40,3,3,3,40.0000000000000000
793,AW00011792,Alexia Perry,51,"50 and above",new,2013-06-30,159,3,120,40,3,3,1,120.0000000000000000
794,AW00011793,Xavier Rogers,46,"40 - 49",new,2013-02-10,163,4,102,25,4,4,0,0
795,AW00011794,Lauren Ross,51,"50 and above",new,2014-01-28,152,4,77,19,4,4,2,38.5000000000000000
796,AW00011795,Nicole Thomas,52,"50 and above",new,2013-11-25,154,3,75,25,3,3,4,18.7500000000000000
797,AW00011796,Isabel Jenkins,41,"40 - 49",VIP,2013-05-30,160,7,5995,856,7,7,19,315.5263157894736842
798,AW00011797,Devin Coleman,46,"40 - 49",VIP,2013-06-29,159,6,5972,995,6,6,20,298.6000000000000000
799,AW00011798,Brendan Chande,52,"50 and above",VIP,2013-06-11,159,3,5953,1984,3,3,20,297.6500000000000000
800,AW00011799,Jessie Wang,46,"40 - 49",VIP,2013-06-09,159,5,5921,1184,5,5,20,296.0500000000000000
801,AW00011800,Jennifer Baker,51,"50 and above",new,2013-08-13,157,4,77,19,4,4,0,0
802,AW00011801,Aaron Sharma,51,"50 and above",new,2013-12-31,153,3,87,29,3,3,0,0
803,AW00011802,Madison Taylor,49,"40 - 49",new,2013-12-01,153,12,214,17,12,12,10,21.4000000000000000
804,AW00011803,Jan Hernandez,49,"40 - 49",new,2013-11-23,154,6,230,38,6,6,4,57.5000000000000000
805,AW00011804,Haley Turner,49,"40 - 49",new,2013-08-12,157,5,134,26,5,5,3,44.6666666666666667
806,AW00011805,Richard Green,50,"50 and above",new,2013-11-05,154,4,129,32,4,4,7,18.4285714285714286
807,AW00011806,Jennifer Stewart,44,"40 - 49",new,2013-10-03,155,4,96,24,4,4,8,12.0000000000000000
808,AW00011807,Lucas Baker,49,"40 - 49",new,2013-09-12,156,5,153,30,5,5,5,30.6000000000000000
809,AW00011808,James Parker,51,"50 and above",new,2013-10-25,155,14,609,43,14,14,7,87.0000000000000000
810,AW00011809,Juan Gray,53,"50 and above",VIP,2013-06-10,159,4,5929,1482,4,4,20,296.4500000000000000
811,AW00011810,Antonio Washington,48,"40 - 49",VIP,2013-06-24,159,5,5973,1194,5,5,20,298.6500000000000000
812,AW00011811,Abigail Brooks,48,"40 - 49",VIP,2013-06-17,159,2,5898,2949,2,2,20,294.9000000000000000
813,AW00011812,Andrew Rodriguez,53,"50 and above",VIP,2013-06-18,159,3,5900,1966,3,3,20,295.0000000000000000
814,AW00011813,Mary Patterson,53,"50 and above",VIP,2013-06-28,159,3,5953,1984,3,3,20,297.6500000000000000
815,AW00011814,Dalton Morgan,50,"50 and above",new,2013-09-08,156,5,101,20,5,5,3,33.6666666666666667
816,AW00011815,Hannah Patterson,45,"40 - 49",VIP,2013-02-24,163,5,5948,1189,5,5,16,371.7500000000000000
817,AW00011816,Joe Torres,44,"40 - 49",VIP,2013-02-20,163,3,5933,1977,3,3,16,370.8125000000000000
818,AW00011817,Morgan Miller,44,"40 - 49",VIP,2013-02-12,163,2,5898,2949,2,2,16,368.6250000000000000
819,AW00011818,Daniel Garcia,50,"50 and above",VIP,2013-01-30,164,5,5954,1190,5,5,15,396.9333333333333333
820,AW00011819,Jose Lal,53,"50 and above",new,2014-01-16,152,4,96,24,4,4,11,8.7272727272727273
821,AW00011820,Katelyn Lopez,49,"40 - 49",new,2013-12-06,153,10,232,23,10,10,10,23.2000000000000000
822,AW00011821,Austin Johnson,54,"50 and above",new,2013-09-03,156,7,151,21,7,7,2,75.5000000000000000
